,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1,100005,Marshall County,AL,Marshall County AL,Albertville City,88.0,86.0,30.950000000000003
2,100006,Marshall County,AL,Marshall County AL,Marshall County,89.0,87.0,30.950000000000003
3,100007,Jefferson County,AL,Jefferson County AL,Hoover City,89.0,92.0,26.200000000000003
4,100008,Madison County,AL,Madison County AL,Madison City,94.0,95.0,17.15
6,100011,Jefferson County,AL,Jefferson County AL,Leeds City,74.0,83.0,26.200000000000003
7,100012,Marshall County,AL,Marshall County AL,Boaz City,85.0,90.0,30.950000000000003
8,100013,Jefferson County,AL,Jefferson County AL,Trussville City,93.0,95.0,26.200000000000003
9,100018,Jefferson County,AL,Jefferson County AL,Alabama School of Fine Arts,95.0,95.0,26.200000000000003
10,100030,Tallapoosa County,AL,Tallapoosa County AL,Alexander City,86.0,88.0,31.6
14,100060,Covington County,AL,Covington County AL,Andalusia City,86.0,88.0,34.3
15,100090,Calhoun County,AL,Calhoun County AL,Anniston City,61.0,75.0,30.8
16,100100,Marshall County,AL,Marshall County AL,Arab City,97.0,97.0,30.950000000000003
17,100120,Limestone County,AL,Limestone County AL,Athens City,87.0,90.0,18.1
18,100180,Etowah County,AL,Etowah County AL,Attalla City,72.0,80.0,29.9
20,100185,Mobile County,AL,Mobile County AL,Saraland City,91.0,92.0,28.2
23,100210,Lee County,AL,Lee County AL,Auburn City,93.0,93.0,19.450000000000003
24,100240,Autauga County,AL,Autauga County AL,Autauga County,89.0,91.0,18.5
25,100270,Baldwin County,AL,Baldwin County AL,Baldwin County,88.0,90.0,19.15
26,100300,Barbour County,AL,Barbour County AL,Barbour County,64.0,70.0,40.05
27,100330,Jefferson County,AL,Jefferson County AL,Bessemer City,69.0,75.0,26.200000000000003
28,100360,Bibb County,AL,Bibb County AL,Bibb County,76.0,84.0,26.9
29,100390,Jefferson County,AL,Jefferson County AL,Birmingham City,71.0,75.0,26.200000000000003
30,100420,Blount County,AL,Blount County AL,Blount County,80.0,87.0,21.5
31,100450,Escambia County,AL,Escambia County AL,Brewton City,89.0,91.0,32.55
32,100480,Bullock County,AL,Bullock County AL,Bullock County,60.0,75.0,41.75
33,100510,Butler County,AL,Butler County AL,Butler County,85.0,84.0,36.3
34,100540,Calhoun County,AL,Calhoun County AL,Calhoun County,82.0,90.0,30.8
35,100600,Chambers County,AL,Chambers County AL,Chambers County,70.0,80.0,37.05
36,100630,Cherokee County,AL,Cherokee County AL,Cherokee County,79.0,84.0,29.85
37,100660,Chilton County,AL,Chilton County AL,Chilton County,80.0,84.0,27.35
38,100690,Choctaw County,AL,Choctaw County AL,Choctaw County,73.0,79.0,30.45
39,100720,Clarke County,AL,Clarke County AL,Clarke County,73.0,80.0,29.450000000000003
40,100750,Clay County,AL,Clay County AL,Clay County,78.0,80.0,27.15
41,100780,Cleburne County,AL,Cleburne County AL,Cleburne County,84.0,87.0,24.5
42,100810,Coffee County,AL,Coffee County AL,Coffee County,81.0,88.0,22.8
43,100840,Colbert County,AL,Colbert County AL,Colbert County,82.0,87.0,25.35
44,100870,Conecuh County,AL,Conecuh County AL,Conecuh County,87.0,88.0,39.2
45,100900,Coosa County,AL,Coosa County AL,Coosa County,81.0,83.0,29.9
46,100930,Covington County,AL,Covington County AL,Covington County,87.0,90.0,34.3
47,100960,Crenshaw County,AL,Crenshaw County AL,Crenshaw County,85.0,85.0,27.0
48,100990,Cullman County,AL,Cullman County AL,Cullman City,96.0,96.0,25.85
49,101020,Cullman County,AL,Cullman County AL,Cullman County,85.0,88.0,25.85
50,101050,Dale County,AL,Dale County AL,Dale County,88.0,90.0,26.5
51,101080,Dale County,AL,Dale County AL,Daleville City,72.0,83.0,26.5
52,101110,Dallas County,AL,Dallas County AL,Dallas County,71.0,74.0,48.85
54,101170,Morgan County,AL,Morgan County AL,Decatur City,85.0,85.0,24.2
55,101200,Marengo County,AL,Marengo County AL,Demopolis City,86.0,89.0,31.700000000000003
56,101230,Houston County,AL,Houston County AL,Dothan City,87.0,89.0,27.4
57,101260,Coffee County,AL,Coffee County AL,Elba City,71.0,78.0,22.8
58,101290,Elmore County,AL,Elmore County AL,Elmore County,82.0,90.0,19.1
59,101320,Coffee County,AL,Coffee County AL,Enterprise City,90.0,92.0,22.8
60,101350,Escambia County,AL,Escambia County AL,Escambia County,85.0,87.0,32.55
61,101380,Etowah County,AL,Etowah County AL,Etowah County,84.0,89.0,29.9
62,101410,Barbour County,AL,Barbour County AL,Eufaula City,77.0,82.0,40.05
63,101440,Jefferson County,AL,Jefferson County AL,Fairfield City,65.0,74.0,26.200000000000003
64,101470,Fayette County,AL,Fayette County AL,Fayette County,84.0,86.0,28.2
65,101530,Lauderdale County,AL,Lauderdale County AL,Florence City,87.0,90.0,23.85
67,101590,Franklin County,AL,Franklin County AL,Franklin County,85.0,88.0,30.799999999999997
68,101620,Etowah County,AL,Etowah County AL,Gadsden City,73.0,83.0,29.9
69,101640,Geneva County,AL,Geneva County AL,Geneva City,86.0,88.0,35.650000000000006
70,101660,Geneva County,AL,Geneva County AL,Geneva County,76.0,80.0,35.650000000000006
71,101680,Greene County,AL,Greene County AL,Greene County,68.0,77.0,44.1
72,101690,Marshall County,AL,Marshall County AL,Guntersville City,91.0,91.0,30.950000000000003
73,101710,Hale County,AL,Hale County AL,Hale County,78.0,80.0,36.099999999999994
74,101720,Winston County,AL,Winston County AL,Haleyville City,85.0,89.0,32.2
75,101730,Morgan County,AL,Morgan County AL,Hartselle City,91.0,93.0,24.2
76,101740,Henry County,AL,Henry County AL,Henry County,74.0,82.0,27.15
77,101760,Jefferson County,AL,Jefferson County AL,Homewood City,92.0,93.0,26.200000000000003
78,101770,Houston County,AL,Houston County AL,Houston County,87.0,90.0,27.4
79,101800,Madison County,AL,Madison County AL,Huntsville City,81.0,86.0,17.15
80,101830,Jackson County,AL,Jackson County AL,Jackson County,85.0,87.0,23.75
81,101860,Calhoun County,AL,Calhoun County AL,Jacksonville City,79.0,89.0,30.8
82,101890,Walker County,AL,Walker County AL,Jasper City,88.0,89.0,25.549999999999997
83,101920,Jefferson County,AL,Jefferson County AL,Jefferson County,81.0,86.0,26.200000000000003
84,101950,Lamar County,AL,Lamar County AL,Lamar County,78.0,82.0,28.1
85,101980,Chambers County,AL,Chambers County AL,Lanett City,68.0,74.0,37.05
86,102010,Lauderdale County,AL,Lauderdale County AL,Lauderdale County,85.0,89.0,23.85
87,102040,Lawrence County,AL,Lawrence County AL,Lawrence County,79.0,86.0,25.25
88,102070,Lee County,AL,Lee County AL,Lee County,84.0,87.0,19.450000000000003
89,102100,Limestone County,AL,Limestone County AL,Limestone County,75.0,83.0,18.1
90,102130,Marengo County,AL,Marengo County AL,Linden City,62.0,66.0,31.700000000000003
91,102160,Lowndes County,AL,Lowndes County AL,Lowndes County,63.0,74.0,39.45
92,102190,Macon County,AL,Macon County AL,Macon County,64.0,76.0,42.0
93,102220,Madison County,AL,Madison County AL,Madison County,89.0,92.0,17.15
94,102250,Marengo County,AL,Marengo County AL,Marengo County,76.0,79.0,31.700000000000003
95,102310,Marion County,AL,Marion County AL,Marion County,88.0,89.0,29.6
96,102350,Jefferson County,AL,Jefferson County AL,Midfield City,65.0,75.0,26.200000000000003
97,102370,Mobile County,AL,Mobile County AL,Mobile County,83.0,87.0,28.2
98,102400,Monroe County,AL,Monroe County AL,Monroe County,79.0,80.0,33.7
99,102430,Montgomery County,AL,Montgomery County AL,Montgomery County,67.0,76.0,30.200000000000003
100,102480,Morgan County,AL,Morgan County AL,Morgan County,83.0,88.0,24.2
101,102490,Jefferson County,AL,Jefferson County AL,Mountain Brook City,98.0,98.0,26.200000000000003
102,102520,Colbert County,AL,Colbert County AL,Muscle Shoals City,93.0,94.0,25.35
103,102550,Blount County,AL,Blount County AL,Oneonta City,88.0,93.0,21.5
104,102580,Lee County,AL,Lee County AL,Opelika City,80.0,83.0,19.450000000000003
105,102610,Covington County,AL,Covington County AL,Opp City,87.0,84.0,34.3
106,102635,Calhoun County,AL,Calhoun County AL,Oxford City,86.0,89.0,30.8
107,102640,Dale County,AL,Dale County AL,Ozark City,85.0,85.0,26.5
108,102650,St. Clair County,AL,St. Clair County AL,Pell City,86.0,89.0,22.05
109,102670,Perry County,AL,Perry County AL,Perry County,75.0,77.0,46.65
110,102700,Russell County,AL,Russell County AL,Phenix City,76.0,83.0,32.599999999999994
111,102730,Pickens County,AL,Pickens County AL,Pickens County,79.0,85.0,31.85
112,102760,Calhoun County,AL,Calhoun County AL,Piedmont City,88.0,90.0,30.8
113,102790,Pike County,AL,Pike County AL,Pike County,83.0,87.0,32.849999999999994
114,102820,Randolph County,AL,Randolph County AL,Randolph County,71.0,82.0,29.15
115,102850,Randolph County,AL,Randolph County AL,Roanoke City,80.0,80.0,29.15
116,102880,Russell County,AL,Russell County AL,Russell County,74.0,81.0,32.599999999999994
117,102910,Franklin County,AL,Franklin County AL,Russellville City,87.0,90.0,30.799999999999997
118,102940,Jackson County,AL,Jackson County AL,Scottsboro City,83.0,87.0,23.75
119,102970,Dallas County,AL,Dallas County AL,Selma City,75.0,80.0,48.85
120,103000,Colbert County,AL,Colbert County AL,Sheffield City,74.0,75.0,25.35
121,103030,Shelby County,AL,Shelby County AL,Shelby County,89.0,90.0,10.600000000000001
122,103062,St. Clair County,AL,St. Clair County AL,St Clair County,83.0,88.0,22.05
123,103090,Sumter County,AL,Sumter County AL,Sumter County,66.0,66.0,42.0
124,103120,Talladega County,AL,Talladega County AL,Sylacauga City,86.0,87.0,31.05
125,103150,Talladega County,AL,Talladega County AL,Talladega City,68.0,77.0,31.05
126,103180,Talladega County,AL,Talladega County AL,Talladega County,85.0,84.0,31.05
127,103210,Tallapoosa County,AL,Tallapoosa County AL,Tallapoosa County,75.0,80.0,31.6
128,103240,Elmore County,AL,Elmore County AL,Tallassee City,74.0,84.0,19.1
129,103270,Jefferson County,AL,Jefferson County AL,Tarrant City,62.0,74.0,26.200000000000003
130,103300,Clarke County,AL,Clarke County AL,Thomasville City,82.0,87.0,29.450000000000003
