"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2012","00","00000","United States","306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703","15.9","15.8","16.0","15.8 to 16.0","72,605,436","16,396,863","16,275,868","16,517,858","16,275,868 to 16,517,858","22.6","22.4","22.8","22.4 to 22.8","52,675,863","11,086,537","10,995,403","11,177,671","10,995,403 to 11,177,671","21.0","20.8","21.2","20.8 to 21.2","19,611,275","5,014,970","4,971,692","5,058,248","4,971,692 to 5,058,248","25.6","25.4","25.8","25.4 to 25.8","$51,371","$51,318","$51,424","$51,318 to $51,424"
"2011","00","00000","United States","303,778,193","48,452,035","48,217,869","48,686,201","48,217,869 to 48,686,201","15.9","15.8","16.0","15.8 to 16.0","72,802,773","16,386,500","16,262,247","16,510,753","16,262,247 to 16,510,753","22.5","22.3","22.7","22.3 to 22.7","52,708,799","10,976,987","10,882,675","11,071,299","10,882,675 to 11,071,299","20.8","20.6","21.0","20.6 to 21.0","19,772,854","5,110,087","5,061,357","5,158,817","5,061,357 to 5,158,817","25.8","25.6","26.0","25.6 to 26.0","$50,502","$50,429","$50,575","$50,429 to $50,575"
"2012","01","01000","Alabama","4,706,967","896,515","880,205","912,825","880,205 to 912,825","19.0","18.7","19.3","18.7 to 19.3","1,111,278","306,451","298,963","313,939","298,963 to 313,939","27.6","26.9","28.3","26.9 to 28.3","808,562","208,811","202,516","215,106","202,516 to 215,106","25.8","25.0","26.6","25.0 to 26.6","299,413","94,623","90,649","98,597","90,649 to 98,597","31.6","30.3","32.9","30.3 to 32.9","$41,610","$41,143","$42,077","$41,143 to $42,077"
"2011","01","01000","Alabama","4,687,327","896,117","879,174","913,060","879,174 to 913,060","19.1","18.7","19.5","18.7 to 19.5","1,114,604","307,310","298,317","316,303","298,317 to 316,303","27.6","26.8","28.4","26.8 to 28.4","812,029","209,724","201,714","217,734","201,714 to 217,734","25.8","24.8","26.8","24.8 to 26.8","298,962","94,184","89,925","98,443","89,925 to 98,443","31.5","30.1","32.9","30.1 to 32.9","$41,427","$40,894","$41,960","$40,894 to $41,960"
"2012","01","01001","Autauga County (AL)","55,059","7,017","5,688","8,346","5,688 to 8,346","12.7","10.3","15.1","10.3 to 15.1","14,309","2,648","2,088","3,208","2,088 to 3,208","18.5","14.6","22.4","14.6 to 22.4","10,725","1,883","1,479","2,287","1,479 to 2,287","17.6","13.8","21.4","13.8 to 21.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,441","$47,185","$55,697","$47,185 to $55,697"
"2011","01","01001","Autauga County (AL)","54,819","8,152","6,836","9,468","6,836 to 9,468","14.9","12.5","17.3","12.5 to 17.3","14,295","2,999","2,470","3,528","2,470 to 3,528","21.0","17.3","24.7","17.3 to 24.7","10,701","2,075","1,677","2,473","1,677 to 2,473","19.4","15.7","23.1","15.7 to 23.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,863","$44,355","$53,371","$44,355 to $53,371"
"2012","01","01003","Baldwin County (AL)","188,262","26,177","22,636","29,718","22,636 to 29,718","13.9","12.0","15.8","12.0 to 15.8","42,580","8,723","7,204","10,242","7,204 to 10,242","20.5","16.9","24.1","16.9 to 24.1","31,455","6,109","4,961","7,257","4,961 to 7,257","19.4","15.7","23.1","15.7 to 23.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,867","$46,453","$51,281","$46,453 to $51,281"
"2011","01","01003","Baldwin County (AL)","184,184","24,728","20,610","28,846","20,610 to 28,846","13.4","11.2","15.6","11.2 to 15.6","42,089","8,611","6,906","10,316","6,906 to 10,316","20.5","16.4","24.6","16.4 to 24.6","30,977","5,842","4,578","7,106","4,578 to 7,106","18.9","14.8","23.0","14.8 to 23.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,144","$46,554","$53,734","$46,554 to $53,734"
"2012","01","01005","Barbour County (AL)","23,749","6,892","5,776","8,008","5,776 to 8,008","29.0","24.3","33.7","24.3 to 33.7","5,707","2,683","2,322","3,044","2,322 to 3,044","47.0","40.7","53.3","40.7 to 53.3","4,191","1,797","1,514","2,080","1,514 to 2,080","42.9","36.2","49.6","36.2 to 49.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,287","$27,664","$32,910","$27,664 to $32,910"
"2011","01","01005","Barbour County (AL)","23,870","7,051","5,884","8,218","5,884 to 8,218","29.5","24.6","34.4","24.6 to 34.4","5,856","2,330","1,932","2,728","1,932 to 2,728","39.8","33.0","46.6","33.0 to 46.6","4,192","1,558","1,266","1,850","1,266 to 1,850","37.2","30.2","44.2","30.2 to 44.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,117","$27,484","$32,750","$27,484 to $32,750"
